"STATISTIC","Statistic Label","TLIST(A1)","Year","C03788V04538","County","C02665V03225","NACE Rev 2 Economic Sector","UNIT","VALUE"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-143d-13a3-e055-000000000001","Co. Carlow","N","Administrative and support service activities (N)","Euro","25597"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-143d-13a3-e055-000000000001","Co. Carlow","O","Public administration and defence; compulsory social security (O)","Euro","46518"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-143d-13a3-e055-000000000001","Co. Carlow","P","Education (P)","Euro","49613"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-143d-13a3-e055-000000000001","Co. Carlow","Q","Human health and social work activities (Q)","Euro","32014"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-143d-13a3-e055-000000000001","Co. Carlow","Y0900","Industry (B to E)","Euro","37580"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-143d-13a3-e055-000000000001","Co. Carlow","Y3500","Financial, insurance and real estate activities (K,L)","Euro","43967"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-143d-13a3-e055-000000000001","Co. Carlow","Y7400","Arts, entertainment, recreation and other service activities (R,S)","Euro","25367"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1452-13a3-e055-000000000001","Co. Donegal","-","All NACE economic sectors","Euro","31776"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1452-13a3-e055-000000000001","Co. Donegal","F","Construction (F)","Euro","27278"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1452-13a3-e055-000000000001","Co. Donegal","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","19977"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1452-13a3-e055-000000000001","Co. Donegal","H","Transportation and storage (H)","Euro","29216"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1452-13a3-e055-000000000001","Co. Donegal","I","Accommodation and food service activities (I)","Euro","15101"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1452-13a3-e055-000000000001","Co. Donegal","J","Information and communication (J)","Euro","38321"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1452-13a3-e055-000000000001","Co. Donegal","M","Professional, scientific and technical activities (M)","Euro","29028"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1452-13a3-e055-000000000001","Co. Donegal","N","Administrative and support service activities (N)","Euro","20531"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1452-13a3-e055-000000000001","Co. Donegal","O","Public administration and defence; compulsory social security (O)","Euro","42995"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1452-13a3-e055-000000000001","Co. Donegal","P","Education (P)","Euro","49420"
